code,parent
E06000001,E92000001
E06000002,E92000001
E06000003,E92000001
E06000004,E92000001
E06000005,E92000001
E06000006,E92000001
E06000007,E92000001
E06000008,E92000001
E06000009,E92000001
E06000010,E92000001
E06000011,E92000001
E06000012,E92000001
E06000013,E92000001
E06000014,E92000001
E06000015,E92000001
E06000016,E92000001
E06000017,E92000001
E06000018,E92000001
E06000019,E92000001
E06000020,E92000001
E06000021,E92000001
E06000022,E92000001
E06000023,E92000001
E06000024,E92000001
E06000025,E92000001
E06000026,E92000001
E06000027,E92000001
E06000030,E92000001
E06000031,E92000001
E06000032,E92000001
E06000033,E92000001
E06000034,E92000001
E06000035,E92000001
E06000036,E92000001
E06000037,E92000001
E06000038,E92000001
E06000039,E92000001
E06000040,E92000001
E06000041,E92000001
E06000042,E92000001
E06000043,E92000001
E06000044,E92000001
E06000045,E92000001
E06000046,E92000001
E06000047,E92000001
E06000049,E92000001
E06000050,E92000001
E06000051,E92000001
E06000052,E92000001
E06000053,E92000001
E06000054,E92000001
E06000055,E92000001
E06000056,E92000001
E06000057,E92000001
E06000058,E92000001
E06000059,E92000001
E06000060,E92000001
E06000061,E92000001
E06000062,E92000001
E07000008,E92000001
E07000009,E92000001
E07000010,E92000001
E07000011,E92000001
E07000012,E92000001
E07000026,E92000001
E07000027,E92000001
E07000028,E92000001
E07000029,E92000001
E07000030,E92000001
E07000031,E92000001
E07000032,E92000001
E07000033,E92000001
E07000034,E92000001
E07000035,E92000001
E07000036,E92000001
E07000037,E92000001
E07000038,E92000001
E07000039,E92000001
E07000040,E92000001
E07000041,E92000001
E07000042,E92000001
E07000043,E92000001
E07000044,E92000001
E07000045,E92000001
E07000046,E92000001
E07000047,E92000001
E07000061,E92000001
E07000062,E92000001
E07000063,E92000001
E07000064,E92000001
E07000065,E92000001
E07000066,E92000001
E07000067,E92000001
E07000068,E92000001
E07000069,E92000001
E07000070,E92000001
E07000071,E92000001
E07000072,E92000001
E07000073,E92000001
E07000074,E92000001
E07000075,E92000001
E07000076,E92000001
E07000077,E92000001
E07000078,E92000001
E07000079,E92000001
E07000080,E92000001
E07000081,E92000001
E07000082,E92000001
E07000083,E92000001
E07000084,E92000001
E07000085,E92000001
E07000086,E92000001
E07000087,E92000001
E07000088,E92000001
E07000089,E92000001
E07000090,E92000001
E07000091,E92000001
E07000092,E92000001
E07000093,E92000001
E07000094,E92000001
E07000095,E92000001
E07000096,E92000001
E07000098,E92000001
E07000099,E92000001
E07000102,E92000001
E07000103,E92000001
E07000105,E92000001
E07000106,E92000001
E07000107,E92000001
E07000108,E92000001
E07000109,E92000001
E07000110,E92000001
E07000111,E92000001
E07000112,E92000001
E07000113,E92000001
E07000114,E92000001
E07000115,E92000001
E07000116,E92000001
E07000117,E92000001
E07000118,E92000001
E07000119,E92000001
E07000120,E92000001
E07000121,E92000001
E07000122,E92000001
E07000123,E92000001
E07000124,E92000001
E07000125,E92000001
E07000126,E92000001
E07000127,E92000001
E07000128,E92000001
E07000129,E92000001
E07000130,E92000001
E07000131,E92000001
E07000132,E92000001
E07000133,E92000001
E07000134,E92000001
E07000135,E92000001
E07000136,E92000001
E07000137,E92000001
E07000138,E92000001
E07000139,E92000001
E07000140,E92000001
E07000141,E92000001
E07000142,E92000001
E07000143,E92000001
E07000144,E92000001
E07000145,E92000001
E07000146,E92000001
E07000147,E92000001
E07000148,E92000001
E07000149,E92000001
E07000163,E92000001
E07000164,E92000001
E07000165,E92000001
E07000166,E92000001
E07000167,E92000001
E07000168,E92000001
E07000169,E92000001
E07000170,E92000001
E07000171,E92000001
E07000172,E92000001
E07000173,E92000001
E07000174,E92000001
E07000175,E92000001
E07000176,E92000001
E07000177,E92000001
E07000178,E92000001
E07000179,E92000001
E07000180,E92000001
E07000181,E92000001
E07000187,E92000001
E07000188,E92000001
E07000189,E92000001
E07000192,E92000001
E07000193,E92000001
E07000194,E92000001
E07000195,E92000001
E07000196,E92000001
E07000197,E92000001
E07000198,E92000001
E07000199,E92000001
E07000200,E92000001
E07000202,E92000001
E07000203,E92000001
E07000207,E92000001
E07000208,E92000001
E07000209,E92000001
E07000210,E92000001
E07000211,E92000001
E07000212,E92000001
E07000213,E92000001
E07000214,E92000001
E07000215,E92000001
E07000216,E92000001
E07000217,E92000001
E07000218,E92000001
E07000219,E92000001
E07000220,E92000001
E07000221,E92000001
E07000222,E92000001
E07000223,E92000001
E07000224,E92000001
E07000225,E92000001
E07000226,E92000001
E07000227,E92000001
E07000228,E92000001
E07000229,E92000001
E07000234,E92000001
E07000235,E92000001
E07000236,E92000001
E07000237,E92000001
E07000238,E92000001
E07000239,E92000001
E07000240,E92000001
E07000241,E92000001
E07000242,E92000001
E07000243,E92000001
E07000244,E92000001
E07000245,E92000001
E07000246,E92000001
E08000001,E92000001
E08000002,E92000001
E08000003,E92000001
E08000004,E92000001
E08000005,E92000001
E08000006,E92000001
E08000007,E92000001
E08000008,E92000001
E08000009,E92000001
E08000010,E92000001
E08000011,E92000001
E08000012,E92000001
E08000013,E92000001
E08000014,E92000001
E08000015,E92000001
E08000016,E92000001
E08000017,E92000001
E08000018,E92000001
E08000019,E92000001
E08000021,E92000001
E08000022,E92000001
E08000023,E92000001
E08000024,E92000001
E08000025,E92000001
E08000026,E92000001
E08000027,E92000001
E08000028,E92000001
E08000029,E92000001
E08000030,E92000001
E08000031,E92000001
E08000032,E92000001
E08000033,E92000001
E08000034,E92000001
E08000035,E92000001
E08000036,E92000001
E08000037,E92000001
E09000001,E92000001
E09000002,E92000001
E09000003,E92000001
E09000004,E92000001
E09000005,E92000001
E09000006,E92000001
E09000007,E92000001
E09000008,E92000001
E09000009,E92000001
E09000010,E92000001
E09000011,E92000001
