code,parent
E02002536,UKC11
E02002537,UKC11
E02002535,UKC11
E02002538,UKC11
E02002539,UKC11
E02006909,UKC11
E02002487,UKC11
E02002485,UKC11
E02002484,UKC11
E02002483,UKC11
E02002489,UKC11
E02002488,UKC11
E02002494,UKC11
E02002493,UKC11
E02002492,UKC11
E02002491,UKC11
E02002490,UKC11
E02002546,UKC11
E02002547,UKC11
E02002544,UKC11
E02002545,UKC11
E02002542,UKC11
E02002543,UKC11
E02002540,UKC11
E02002541,UKC11
E02002548,UKC11
E02002549,UKC11
E02002556,UKC11
E02002557,UKC11
E02002554,UKC11
E02002555,UKC11
E02002552,UKC11
E02002553,UKC11
E02002550,UKC11
E02002551,UKC11
E02002558,UKC11
E02002534,UKC12
E02002532,UKC12
E02002533,UKC12
E02002530,UKC12
E02002506,UKC12
E02002507,UKC12
E02002504,UKC12
E02002505,UKC12
E02002502,UKC12
E02002503,UKC12
E02002500,UKC12
E02002501,UKC12
E02002508,UKC12
E02002509,UKC12
E02002516,UKC12
E02002517,UKC12
E02002514,UKC12
E02002515,UKC12
E02002512,UKC12
E02002513,UKC12
E02002510,UKC12
E02002518,UKC12
E02002519,UKC12
E02006910,UKC12
E02002497,UKC12
E02002496,UKC12
E02002499,UKC12
E02002498,UKC12
E02006812,UKC12
E02006811,UKC12
E02002526,UKC12
E02002527,UKC12
E02002524,UKC12
E02002525,UKC12
E02002523,UKC12
E02002520,UKC12
E02002521,UKC12
E02002529,UKC12
E02005740,UKC21
E02005741,UKC21
E02005726,UKC21
E02005727,UKC21
E02005725,UKC21
E02005722,UKC21
E02005723,UKC21
E02005720,UKC21
E02005721,UKC21
E02005728,UKC21
E02005729,UKC21
E02005736,UKC21
E02005737,UKC21
E02005734,UKC21
E02005735,UKC21
E02005733,UKC21
E02005730,UKC21
E02005731,UKC21
E02005738,UKC21
E02005739,UKC21
E02005706,UKC21
E02005707,UKC21
E02005704,UKC21
E02005705,UKC21
E02005702,UKC21
E02005703,UKC21
E02005708,UKC21
E02005709,UKC21
E02005716,UKC21
E02005717,UKC21
E02005714,UKC21
E02005715,UKC21
E02005712,UKC21
E02005713,UKC21
E02005710,UKC21
E02005711,UKC21
E02005718,UKC21
E02005719,UKC21
E02005724,UKC21
E02005732,UKC21
E02001736,UKC22
E02001737,UKC22
E02001734,UKC22
E02001735,UKC22
E02001732,UKC22
E02001733,UKC22
E02001730,UKC22
E02001731,UKC22
E02001738,UKC22
E02001739,UKC22
E02001706,UKC22
E02001787,UKC22
E02001707,UKC22
E02001786,UKC22
E02001704,UKC22
