code,parent
E00000001,E05009288
E00000003,E05009288
E00000004,E05009288
E00000005,E05009288
E00000006,E05009288
E00000007,E05009288
E00000008,E05009288
E00000011,E05009288
E00000013,E05009288
E00000002,E05009304
E00000024,E05009304
E00000027,E05009304
E00000009,E05009292
E00000010,E05009302
E00000012,E05009302
E00000014,E05009302
E00000015,E05009302
E00000016,E05009302
E00000017,E05009302
E00000018,E05009302
E00000019,E05009302
E00000020,E05009302
E00000021,E05009302
E00000023,E05009302
E00000022,E05000367
E00013424,E05000367
E00013425,E05000367
E00013426,E05000367
E00013427,E05000367
E00013428,E05000367
E00013429,E05000367
E00013430,E05000367
E00013431,E05000367
E00013432,E05000367
E00013433,E05000367
E00013434,E05000367
E00013435,E05000367
E00013436,E05000367
E00013437,E05000367
E00013438,E05000367
E00013439,E05000367
E00013440,E05000367
E00013441,E05000367
E00013442,E05000367
E00013443,E05000367
E00013444,E05000367
E00013445,E05000367
E00013446,E05000367
E00013447,E05000367
E00013448,E05000367
E00013449,E05000367
E00013450,E05000367
E00013451,E05000367
E00013452,E05000367
E00013453,E05000367
E00013454,E05000367
E00013455,E05000367
E00013456,E05000367
E00013457,E05000367
E00013458,E05000367
E00013459,E05000367
E00013460,E05000367
E00013461,E05000367
E00013462,E05000367
E00013463,E05000367
E00000025,E05009305
E00000026,E05009305
E00000028,E05009305
E00000029,E05009310
E00000030,E05009308
E00000031,E05009308
E00000032,E05009308
E00000033,E05009309
E00000034,E05009311
E00000035,E05009291
E00000036,E05009296
E00000037,E05000026
E00000038,E05000026
E00000039,E05000026
E00000040,E05000026
E00000041,E05000026
E00000042,E05000026
E00000043,E05000026
E00000044,E05000026
E00000045,E05000026
E00000046,E05000026
E00000047,E05000026
E00000048,E05000026
E00000049,E05000026
E00000050,E05000026
E00000051,E05000026
E00000052,E05000026
E00000053,E05000026
E00000054,E05000026
E00000055,E05000026
E00000056,E05000026
E00000057,E05000026
E00000058,E05000026
E00000059,E05000026
E00000060,E05000026
E00000061,E05000026
E00000062,E05000026
E00000063,E05000026
E00000064,E05000026
E00000065,E05000026
E00000066,E05000026
E00000067,E05000026
E00000068,E05000026
E00000069,E05000026
E00000070,E05000027
E00000071,E05000027
E00000072,E05000027
E00000073,E05000027
E00000074,E05000027
E00000075,E05000027
E00000076,E05000027
E00000077,E05000027
E00000078,E05000027
E00000079,E05000027
E00000080,E05000027
E00000081,E05000027
E00000082,E05000027
E00000083,E05000027
E00000084,E05000027
E00000085,E05000027
E00000086,E05000027
E00000087,E05000027
E00000088,E05000027
E00000089,E05000027
E00000090,E05000027
E00000091,E05000027
E00000092,E05000027
E00000093,E05000027
E00000094,E05000027
E00000095,E05000027
E00000096,E05000027
E00000097,E05000027
E00000098,E05000027
E00000099,E05000027
E00000100,E05000027
E00000101,E05000028
E00000102,E05000028
E00000103,E05000028
E00000104,E05000028
E00000105,E05000028
E00000106,E05000028
E00000107,E05000028
E00000108,E05000028
E00000109,E05000028
E00000110,E05000028
E00000111,E05000028
E00000112,E05000028
E00000113,E05000028
E00000114,E05000028
E00000115,E05000028
E00000116,E05000028
E00000117,E05000028
E00000118,E05000028
E00000119,E05000028
E00000120,E05000028
E00000121,E05000028
E00000122,E05000028
E00000123,E05000028
E00000124,E05000028
E00000125,E05000028
E00000126,E05000028
E00000127,E05000028
E00000128,E05000028
E00000129,E05000028
E00000130,E05000028
E00000131,E05000028
E00000132,E05000028
E00000133,E05000028
E00000134,E05000028
E00000135,E05000029
E00000136,E05000029
E00000137,E05000029
E00000138,E05000029
E00000139,E05000029
E00000140,E05000029
E00000141,E05000029
E00000142,E05000029
E00000143,E05000029
E00000144,E05000029
E00000145,E05000029
E00000146,E05000029
E00000147,E05000029
E00000148,E05000029
E00000149,E05000029
E00000150,E05000029
E00000151,E05000029
E00000152,E05000029
E00000153,E05000029
E00000154,E05000029
E00000155,E05000029
E00000156,E05000029
E00000157,E05000029
E00000158,E05000029
E00000159,E05000029
E00000160,E05000029
E00000161,E05000029
E00000162,E05000029
E00000163,E05000029
E00000164,E05000029
E00000165,E05000029
E00000166,E05000029
E00000167,E05000030
E00000168,E05000030
E00000169,E05000030
E00000170,E05000030
E00000171,E05000030
E00000172,E05000030
E00000173,E05000030
E00000174,E05000030
E00000175,E05000030
E00000176,E05000030
E00000177,E05000030
E00000178,E05000030
E00000179,E05000030
E00000180,E05000030
E00000181,E05000030
E00000182,E05000030
E00000183,E05000030
E00000184,E05000030
E00000185,E05000030
E00000186,E05000030
E00000187,E05000030
E00000188,E05000030
E00000189,E05000030
E00000190,E05000030
E00000191,E05000030
E00000192,E05000030
E00000193,E05000030
E00000194,E05000030
E00000195,E05000030
E00000196,E05000030
E00000197,E05000030
E00000198,E05000030
E00000199,E05000031
E00000200,E05000031
E00000201,E05000031
E00000202,E05000031
E00000203,E05000031
E00000204,E05000031
E00000205,E05000031
E00000206,E05000031
E00000207,E05000031
E00000208,E05000031
E00000209,E05000031
E00000210,E05000031
E00000211,E05000031
E00000212,E05000031
E00000213,E05000031
E00000214,E05000031
E00000215,E05000031
E00000216,E05000031
E00000217,E05000031
E00000218,E05000031
E00000219,E05000031
E00000220,E05000031
E00000221,E05000031
E00000222,E05000031
E00000223,E05000031
E00000224,E05000031
E00000225,E05000031
E00000226,E05000031
E00000227,E05000031
E00000228,E05000031
E00000229,E05000031
E00000230,E05000031
E00000231,E05000031
E00000232,E05000031
E00000233,E05000032
E00000234,E05000032
E00000235,E05000032
E00000236,E05000032
E00000237,E05000032
E00000238,E05000032
E00000239,E05000032
E00000240,E05000032
E00000241,E05000032
E00000242,E05000032
E00000243,E05000032
E00000244,E05000032
E00000245,E05000032
E00000246,E05000032
E00000247,E05000032
E00000248,E05000032
E00000249,E05000032
E00000250,E05000032
E00000251,E05000032
E00000252,E05000032
E00000253,E05000032
E00000254,E05000032
E00000255,E05000032
E00000256,E05000032
