code,parent
E00060316,E06000001
E00060397,E06000001
E00060317,E06000001
E00060396,E06000001
E00060280,E06000001
E00060314,E06000001
E00060395,E06000001
E00060315,E06000001
E00060394,E06000001
E00060312,E06000001
E00060392,E06000001
E00060310,E06000001
E00060391,E06000001
E00060311,E06000001
E00060390,E06000001
E00060289,E06000001
E00060288,E06000001
E00060318,E06000001
E00060399,E06000001
E00060319,E06000001
E00060398,E06000001
E00174093,E06000001
E00174100,E06000001
E00060456,E06000001
E00060457,E06000001
E00060454,E06000001
E00060455,E06000001
E00060452,E06000001
E00060453,E06000001
E00060450,E06000001
E00060526,E06000001
E00060527,E06000001
E00060524,E06000001
E00060525,E06000001
E00060523,E06000001
E00060521,E06000001
E00060458,E06000001
E00060459,E06000001
E00060306,E06000001
E00060387,E06000001
E00060307,E06000001
E00060386,E06000001
E00060304,E06000001
E00060385,E06000001
E00060528,E06000001
E00060305,E06000001
E00060384,E06000001
E00060529,E06000001
E00060302,E06000001
E00060383,E06000001
E00060303,E06000001
E00060382,E06000001
E00060381,E06000001
E00060308,E06000001
E00060309,E06000001
E00060388,E06000001
E00060446,E06000001
E00060447,E06000001
E00060444,E06000001
E00060445,E06000001
E00060442,E06000001
E00060443,E06000001
E00060440,E06000001
E00060441,E06000001
E00174098,E06000001
E00060554,E06000001
E00174094,E06000001
E00060555,E06000001
E00174097,E06000001
E00060552,E06000001
E00174096,E06000001
E00060553,E06000001
E00174103,E06000001
E00060550,E06000001
E00174104,E06000001
E00174088,E06000001
E00060448,E06000001
E00174091,E06000001
E00060449,E06000001
E00174090,E06000001
E00060336,E06000001
E00174102,E06000001
E00060337,E06000001
E00060334,E06000001
E00060335,E06000001
E00060332,E06000001
E00060333,E06000001
E00060330,E06000001
E00060331,E06000001
E00060338,E06000001
E00060339,E06000001
E00060476,E06000001
E00060477,E06000001
E00060474,E06000001
E00060475,E06000001
E00060472,E06000001
E00060473,E06000001
E00060470,E06000001
E00060546,E06000001
E00060471,E06000001
E00060547,E06000001
E00174086,E06000001
E00060544,E06000001
E00174101,E06000001
E00060545,E06000001
E00174099,E06000001
E00060542,E06000001
E00174084,E06000001
E00060543,E06000001
E00174089,E06000001
E00060256,E06000001
E00060540,E06000001
E00174083,E06000001
E00060257,E06000001
E00060541,E06000001
E00174085,E06000001
E00174092,E06000001
E00060255,E06000001
E00060479,E06000001
E00174095,E06000001
E00060326,E06000001
E00174087,E06000001
E00060327,E06000001
