code,parent
E00000001,E01000001
E00000003,E01000001
E00000005,E01000001
E00000007,E01000001
E00000010,E01000003
E00000012,E01000003
E00000013,E01000003
E00000014,E01000003
E00000016,E01000002
E00000017,E01000002
E00000018,E01000002
E00000019,E01000002
E00000020,E01000002
E00000021,E01000002
E00000022,E01000003
E00000023,E01000003
E00000024,E01032739
E00000025,E01032740
E00000026,E01032740
E00000027,E01032740
E00000028,E01032740
E00000029,E01000005
E00000030,E01000005
E00000031,E01000005
E00000032,E01000005
E00000035,E01032739
E00000037,E01000009
E00000038,E01000011
E00000039,E01000012
E00000040,E01000007
E00000041,E01000009
E00000042,E01000009
E00000043,E01000008
E00000045,E01000012
E00000046,E01000007
E00000048,E01000008
E00000049,E01000006
E00000050,E01000008
E00000051,E01000009
E00000052,E01000007
E00000053,E01000006
E00000054,E01000009
E00000055,E01000006
E00000056,E01000008
E00000057,E01000010
E00000059,E01000006
E00000060,E01000006
E00000061,E01000010
E00000062,E01000010
E00000063,E01000010
E00000267,E01000055
E00000268,E01000059
E00000269,E01000056
E00000270,E01000056
E00000271,E01000055
E00000272,E01000054
E00000273,E01000055
E00000274,E01000057
E00000275,E01000053
E00000276,E01000056
E00000277,E01000053
E00000278,E01000053
E00000279,E01000053
E00000280,E01000058
E00000282,E01000058
E00000283,E01000058
E00000284,E01000058
E00000285,E01000059
E00000286,E01000054
E00000287,E01000057
E00000288,E01000057
E00000289,E01000059
E00000290,E01000057
E00000291,E01000055
E00000292,E01000054
E00000293,E01000059
E00000294,E01000054
E00000295,E01000056
E00000296,E01000055
E00000297,E01000054
E00000298,E01000063
E00000299,E01000060
E00000300,E01000060
E00000301,E01000060
E00000302,E01000063
E00000303,E01000063
E00000304,E01000060
E00000305,E01000061
E00000306,E01000063
E00000307,E01000064
E00000308,E01000060
E00000309,E01000060
E00000310,E01000064
E00000311,E01000064
E00000312,E01000062
E00000313,E01000062
E00000314,E01000064
E00000315,E01000063
E00000316,E01000065
E00000317,E01000062
E00000115,E01000019
E00000064,E01000011
E00000116,E01000022
E00000117,E01000021
E00000065,E01000012
E00000118,E01000021
E00000066,E01000011
E00000119,E01000021
E00000067,E01000012
E00000120,E01000022
E00000068,E01000011
E00000121,E01000021
E00000069,E01000012
E00000122,E01000022
E00000070,E01000016
E00000123,E01000020
E00000071,E01000015
E00000124,E01000022
E00000072,E01000017
E00000125,E01000023
