code,parent
E00000001,E02000001
E00000003,E02000001
E00000005,E02000001
E00000007,E02000001
E00000010,E02000001
E00000012,E02000001
E00000013,E02000001
E00000014,E02000001
E00000016,E02000001
E00000017,E02000001
E00000018,E02000001
E00000019,E02000001
E00000020,E02000001
E00000021,E02000001
E00000022,E02000001
E00000023,E02000001
E00000024,E02000001
E00000025,E02000001
E00000026,E02000001
E00000027,E02000001
E00000028,E02000001
E00000029,E02000001
E00000030,E02000001
E00000031,E02000001
E00000032,E02000001
E00000035,E02000001
E00000037,E02000017
E00000038,E02000017
E00000039,E02000016
E00000040,E02000016
E00000041,E02000017
E00000042,E02000017
E00000043,E02000016
E00000045,E02000016
E00000046,E02000016
E00000048,E02000016
E00000049,E02000017
E00000050,E02000016
E00000051,E02000017
E00000052,E02000016
E00000053,E02000017
E00000054,E02000017
E00000055,E02000017
E00000056,E02000016
E00000057,E02000016
E00000059,E02000017
E00000060,E02000017
E00000061,E02000016
E00000062,E02000016
E00000063,E02000016
E00000267,E02000019
E00000268,E02000014
E00000269,E02000019
E00000270,E02000019
E00000271,E02000019
E00000272,E02000019
E00000273,E02000019
E00000274,E02000013
E00000275,E02000021
E00000276,E02000019
E00000277,E02000021
E00000278,E02000021
E00000279,E02000021
E00000280,E02000019
E00000282,E02000019
E00000283,E02000019
E00000284,E02000019
E00000285,E02000014
E00000286,E02000019
E00000287,E02000013
E00000288,E02000013
E00000289,E02000014
E00000290,E02000013
E00000291,E02000019
E00000292,E02000019
E00000293,E02000014
E00000294,E02000019
E00000295,E02000019
E00000296,E02000019
E00000297,E02000019
E00000298,E02000005
E00000299,E02000007
E00000300,E02000007
E00000301,E02000007
E00000302,E02000005
E00000303,E02000005
E00000304,E02000007
E00000305,E02000007
E00000306,E02000005
E00000307,E02000007
E00000308,E02000007
E00000309,E02000007
E00000310,E02000007
E00000311,E02000007
E00000312,E02000007
E00000313,E02000007
E00000314,E02000007
E00000315,E02000005
E00000316,E02000008
E00000317,E02000007
E00000115,E02006799
E00000064,E02000017
E00000116,E02000009
E00000117,E02000009
E00000065,E02000016
E00000118,E02000009
E00000066,E02000017
E00000119,E02000009
E00000067,E02000016
E00000120,E02000009
E00000068,E02000017
E00000121,E02000009
E00000069,E02000016
E00000122,E02000009
E00000070,E02000010
E00000123,E02006799
E00000071,E02000010
E00000124,E02000009
E00000072,E02000010
E00000125,E02000009
E00000073,E02000010
E00000126,E02000009
E00000074,E02000010
E00000127,E02000009
E00000075,E02000010
E00000128,E02000009
E00000076,E02000010
E00000129,E02000009
E00000077,E02000010
E00000130,E02000009
E00000215,E02000018
E00000078,E02000010
E00000079,E02000010
E00000080,E02000010
E00000081,E02000010
E00000082,E02000010
E00000083,E02000010
E00000084,E02000010
E00000085,E02000014
E00000086,E02000014
E00000087,E02000014
E00000088,E02000010
E00000089,E02000010
E00000090,E02000014
E00000091,E02000010
E00000092,E02000014
E00000093,E02000014
E00000094,E02000014
E00000095,E02000010
E00000096,E02000014
E00000097,E02000014
E00000098,E02000014
E00000099,E02000014
E00000100,E02000010
E00000101,E02000009
E00000102,E02000009
E00000103,E02006799
E00000104,E02006799
E00000106,E02006799
E00000107,E02006799
E00000108,E02006799
E00000109,E02006799
E00000110,E02006799
E00000111,E02006799
E00000112,E02000009
E00000113,E02006799
E00000114,E02006799
E00000131,E02000009
E00000132,E02000009
E00000133,E02000009
E00000216,E02000020
E00000134,E02000009
E00000135,E02000003
E00000217,E02000018
E00000136,E02000003
E00000218,E02000020
E00000137,E02000002
E00000219,E02000018
E00000138,E02000002
E00000220,E02000017
E00000139,E02000002
E00000221,E02000018
E00000140,E02000002
E00000222,E02000017
E00000141,E02000002
E00000223,E02000020
E00000142,E02000002
E00000224,E02000018
E00000143,E02000002
E00000225,E02000020
E00000144,E02000002
E00000226,E02000018
E00000145,E02000002
E00000227,E02000020
E00000146,E02000003
E00000147,E02000002
E00000148,E02000002
E00000149,E02000003
E00000150,E02000003
E00000151,E02000003
E00000152,E02000003
E00000153,E02000003
E00000154,E02000003
E00000155,E02000003
E00000156,E02000002
E00000157,E02000002
E00000158,E02000002
E00000159,E02000002
E00000160,E02000002
E00000161,E02000002
E00000162,E02000002
E00000163,E02000002
E00000164,E02000002
E00000228,E02000017
E00000229,E02000017
E00000230,E02000020
E00000231,E02000020
E00000232,E02000020
E00000234,E02000020
E00000235,E02000022
E00000236,E02000022
E00000237,E02000020
E00000238,E02000022
E00000239,E02000022
E00000240,E02000022
E00000241,E02000022
E00000242,E02000022
E00000243,E02000022
E00000244,E02000022
E00000245,E02000022
E00000246,E02000020
E00000247,E02000020
E00000248,E02000022
E00000249,E02000020
E00000250,E02000022
E00000251,E02000022
E00000252,E02000020
E00000253,E02000022
E00000254,E02000022
E00000255,E02000020
E00000256,E02000022
E00000257,E02000020
E00000258,E02000022
E00000259,E02000020
E00000260,E02000020
E00000261,E02000020
E00000263,E02000022
E00000264,E02000022
E00000265,E02000021
E00000266,E02000014
E00000165,E02000002
E00000166,E02000002
E00000167,E02000011
E00000168,E02000007
E00000169,E02000007
E00000170,E02000004
E00000171,E02000004
E00000172,E02000007
E00000173,E02000011
E00000174,E02000011
E00000175,E02000011
E00000176,E02000011
E00000177,E02000011
E00000178,E02000011
E00000179,E02000011
E00000180,E02000011
E00000181,E02000004
E00000182,E02000004
E00000183,E02000004
E00000184,E02000004
E00000185,E02000004
E00000186,E02000004
E00000187,E02000004
E00000188,E02000004
E00000189,E02000004
E00000190,E02000004
E00000191,E02000004
E00000192,E02000004
E00000193,E02000004
E00000194,E02000004
E00000195,E02000004
E00000196,E02000004
E00000197,E02000004
E00000198,E02000007
E00000199,E02000018
E00000200,E02000018
E00000201,E02000017
E00000202,E02000018
E00000203,E02000018
E00000204,E02000018
E00000205,E02000018
E00000206,E02000018
E00000207,E02000018
E00000208,E02000018
E00000209,E02000018
E00000210,E02000018
E00000211,E02000018
E00000212,E02000018
E00000213,E02000020
E00000214,E02000018
E00000318,E02000008
E00000319,E02000007
E00000320,E02000007
E00000321,E02000008
E00000322,E02000007
E00000323,E02000008
E00000324,E02000008
E00000325,E02000008
E00000326,E02000007
E00000327,E02000007
E00000328,E02000007
E00000329,E02000007
E00000330,E02000007
E00000331,E02000012
E00000332,E02000012
E00000333,E02000012
E00000334,E02000012
E00000369,E02000009
E00000335,E02000012
E00000336,E02000012
E00000337,E02000012
E00000338,E02000012
E00000339,E02000012
E00000340,E02000012
E00000341,E02000012
E00000342,E02000012
E00000343,E02000012
E00000344,E02000017
E00000345,E02000012
E00000346,E02000017
E00000347,E02000012
E00000348,E02000012
E00000349,E02000012
E00000350,E02000017
E00000351,E02000012
E00000352,E02000012
E00000353,E02000017
E00000354,E02000012
E00000355,E02000012
E00000356,E02000012
E00000357,E02000012
E00000358,E02000012
E00000360,E02000013
E00000361,E02000013
E00000362,E02000013
E00000363,E02000013
E00000364,E02000009
E00000365,E02000009
E00000366,E02000009
E00000367,E02000009
E00000368,E02000013
E00000370,E02000013
E00000371,E02000013
E00000372,E02000013
E00000373,E02000018
E00000374,E02000013
E00000375,E02000013
E00000376,E02000013
E00000377,E02000013
E00000378,E02000018
E00000379,E02000013
E00000380,E02000013
E00000381,E02000018
E00000382,E02000013
