code,parent
E00060316,E14000733
E00060397,E14000733
E00060317,E14000733
E00060396,E14000733
E00060280,E14000733
E00060314,E14000733
E00060395,E14000733
E00060315,E14000733
E00060394,E14000733
E00060312,E14000733
E00060392,E14000733
E00060310,E14000733
E00060391,E14000733
E00060311,E14000733
E00060390,E14000733
E00060289,E14000733
E00060288,E14000733
E00060318,E14000733
E00060399,E14000733
E00060319,E14000733
E00060398,E14000733
E00174093,E14000733
E00174100,E14000733
E00060456,E14000733
E00060457,E14000733
E00060454,E14000733
E00060455,E14000733
E00060452,E14000733
E00060453,E14000733
E00060450,E14000733
E00060526,E14000733
E00060527,E14000733
E00060524,E14000733
E00060525,E14000733
E00060523,E14000733
E00060521,E14000733
E00060458,E14000733
E00060459,E14000733
E00060306,E14000733
E00060387,E14000733
E00060307,E14000733
E00060386,E14000733
E00060304,E14000733
E00060385,E14000733
E00060528,E14000733
E00060305,E14000733
E00060384,E14000733
E00060529,E14000733
E00060302,E14000733
E00060383,E14000733
E00060303,E14000733
E00060382,E14000733
E00060381,E14000733
E00060308,E14000733
E00060309,E14000733
E00060388,E14000733
E00060446,E14000733
E00060447,E14000733
E00060444,E14000733
E00060445,E14000733
E00060442,E14000733
E00060443,E14000733
E00060440,E14000733
E00060441,E14000733
E00174098,E14000733
E00060554,E14000733
E00174094,E14000733
E00060555,E14000733
E00174097,E14000733
E00060552,E14000733
E00174096,E14000733
E00060553,E14000733
E00174103,E14000733
E00060550,E14000733
E00174104,E14000733
E00174088,E14000733
E00060448,E14000733
E00174091,E14000733
E00060449,E14000733
E00174090,E14000733
E00060336,E14000733
E00174102,E14000733
E00060337,E14000733
E00060334,E14000733
E00060335,E14000733
E00060332,E14000733
E00060333,E14000733
E00060330,E14000733
E00060331,E14000733
E00060338,E14000733
E00060339,E14000733
E00060476,E14000733
E00060477,E14000733
E00060474,E14000733
E00060475,E14000733
E00060472,E14000733
E00060473,E14000733
E00060470,E14000733
E00060546,E14000733
E00060471,E14000733
E00060547,E14000733
E00174086,E14000733
E00060544,E14000733
E00174101,E14000733
E00060545,E14000733
E00174099,E14000733
E00060542,E14000733
E00174084,E14000733
E00060543,E14000733
E00174089,E14000733
E00060256,E14000733
E00060540,E14000733
E00174083,E14000733
E00060257,E14000733
E00060541,E14000733
E00174085,E14000733
E00174092,E14000733
E00060255,E14000733
E00060479,E14000733
E00174095,E14000733
E00060326,E14000733
E00174087,E14000733
E00060327,E14000733
E00060324,E14000733
E00060325,E14000733
E00060322,E14000733
E00060323,E14000733
E00060320,E14000733
E00060321,E14000733
E00060258,E14000733
E00060328,E14000733
E00060329,E14000733
E00060466,E14000733
E00060467,E14000733
E00060464,E14000733
E00060465,E14000733
E00060462,E14000733
E00060463,E14000733
E00060460,E14000733
E00060461,E14000733
E00060468,E14000733
E00060469,E14000733
E00060356,E14000733
E00060357,E14000733
E00060354,E14000733
E00060355,E14000733
E00060352,E14000733
E00060353,E14000733
E00060350,E14000733
E00060351,E14000733
E00060358,E14000733
E00060359,E14000733
E00060276,E14000733
E00060416,E14000733
E00060277,E14000733
E00060497,E14000733
E00060417,E14000733
E00060274,E14000733
E00060496,E14000733
E00060414,E14000733
E00060275,E14000733
E00060495,E14000733
E00060415,E14000733
E00060272,E14000733
E00060494,E14000733
E00060412,E14000733
E00060273,E14000733
E00060413,E14000733
E00060346,E14000733
E00060270,E14000733
E00060492,E14000733
E00060410,E14000733
E00060347,E14000733
E00060271,E14000733
E00060491,E14000733
E00060344,E14000733
E00060490,E14000733
E00060345,E14000733
E00060342,E14000733
E00060343,E14000733
E00060340,E14000733
E00060341,E14000733
E00060278,E14000733
E00060279,E14000733
E00060418,E14000733
E00060499,E14000733
E00060419,E14000733
E00060498,E14000733
E00060348,E14000733
E00060349,E14000733
E00060266,E14000733
E00060267,E14000733
E00060406,E14000733
E00060487,E14000733
E00060264,E14000733
E00060407,E14000733
E00060486,E14000733
E00060265,E14000733
E00060404,E14000733
E00060485,E14000733
E00060262,E14000733
E00060405,E14000733
E00060484,E14000733
E00060263,E14000733
E00060402,E14000733
E00060483,E14000733
E00060376,E14000733
E00060260,E14000733
E00060403,E14000733
E00060482,E14000733
E00060377,E14000733
E00060261,E14000733
E00060400,E14000733
E00060481,E14000733
E00060516,E14000733
E00060374,E14000733
E00060401,E14000733
E00060480,E14000733
E00060517,E14000733
E00060375,E14000733
E00060514,E14000733
E00060372,E14000733
E00060515,E14000733
E00060373,E14000733
E00060512,E14000733
E00060370,E14000733
E00060371,E14000733
E00060268,E14000733
E00060269,E14000733
E00060408,E14000733
E00060489,E14000733
E00060409,E14000733
E00060488,E14000733
E00060379,E14000733
E00060518,E14000733
E00060519,E14000733
E00165756,E14000733
E00165757,E14000733
E00165754,E14000733
E00165755,E14000733
E00060436,E14000733
E00060437,E14000733
E00060434,E14000733
E00060435,E14000733
E00060432,E14000733
E00060366,E14000733
E00060430,E14000733
E00060367,E14000733
E00060506,E14000733
E00060431,E14000733
E00060364,E14000733
E00060507,E14000733
E00060365,E14000733
E00060504,E14000733
E00060362,E14000733
E00060505,E14000733
E00060360,E14000733
E00060503,E14000733
E00060361,E14000733
E00060500,E14000733
E00060296,E14000733
E00060501,E14000733
E00060438,E14000733
E00060295,E14000733
E00060439,E14000733
E00060294,E14000733
E00060293,E14000733
E00060292,E14000733
E00060291,E14000733
E00060290,E14000733
E00060368,E14000733
E00060369,E14000733
E00060509,E14000733
E00060299,E14000733
E00060298,E14000733
E00060426,E14000733
E00060427,E14000733
E00060424,E14000733
E00060422,E14000733
E00060423,E14000733
E00060420,E14000733
E00060536,E14000733
E00060421,E14000733
E00060537,E14000733
E00060534,E14000733
E00060535,E14000733
E00060532,E14000733
E00060533,E14000733
E00060287,E14000733
E00060530,E14000733
E00060286,E14000733
E00060285,E14000733
E00060429,E14000733
E00060284,E14000733
E00060283,E14000733
E00060282,E14000733
E00060281,E14000733
E00060393,E14000733
E00060313,E14000733
E00060451,E14000733
E00060478,E14000733
E00060548,E14000733
E00060549,E14000733
E00060259,E14000733
E00060493,E14000733
E00060411,E14000733
E00060513,E14000733
E00060433,E14000733
E00060363,E14000733
E00060502,E14000733
E00060297,E14000733
E00060531,E14000733
E00060428,E14000733
E00060977,E14000819
E00060766,E14000819
E00060587,E14000819
E00060586,E14000819
E00060764,E14000819
E00060585,E14000819
E00060765,E14000819
E00060584,E14000819
E00060762,E14000819
E00060583,E14000819
E00060763,E14000819
E00060582,E14000819
E00060760,E14000819
E00060581,E14000819
E00060761,E14000819
E00060580,E14000819
E00060916,E14000819
E00060917,E14000819
E00060827,E14000819
E00060589,E14000819
E00060996,E14000819
E00060914,E14000819
E00060588,E14000819
E00060995,E14000819
E00060915,E14000819
E00060825,E14000819
E00060912,E14000819
E00060822,E14000819
E00060993,E14000819
E00060913,E14000819
E00060992,E14000819
E00060910,E14000819
E00060636,E14000819
E00060820,E14000819
E00060991,E14000819
E00060911,E14000819
E00060637,E14000819
E00060821,E14000819
E00060990,E14000819
E00060634,E14000819
E00060635,E14000819
E00060632,E14000819
E00060633,E14000819
E00060630,E14000819
E00060631,E14000819
E00060918,E14000819
E00060828,E14000819
E00060919,E14000819
E00060829,E14000819
E00060998,E14000819
E00060638,E14000819
E00060639,E14000819
E00174114,E14000819
E00174113,E14000819
E00174118,E14000819
E00174116,E14000819
E00060556,E14000819
E00060557,E14000819
E00060926,E14000819
E00060558,E14000819
E00060927,E14000819
E00060877,E14000819
E00060559,E14000819
E00060924,E14000819
E00060874,E14000819
E00060925,E14000819
E00060875,E14000819
E00060922,E14000819
E00060923,E14000819
E00060873,E14000819
E00060920,E14000819
E00060646,E14000819
E00060921,E14000819
E00060871,E14000819
E00060644,E14000819
E00060645,E14000819
E00060642,E14000819
E00060643,E14000819
E00060640,E14000819
E00060641,E14000819
E00060928,E14000819
E00060929,E14000819
E00060648,E14000819
E00060649,E14000819
E00174117,E14000819
E00060566,E14000819
E00060564,E14000819
E00060565,E14000819
E00060562,E14000819
E00060563,E14000819
E00060560,E14000819
E00060561,E14000819
E00060976,E14000819
E00060568,E14000819
E00060569,E14000819
E00060974,E14000819
E00060975,E14000819
E00060972,E14000819
E00060970,E14000819
E00060971,E14000819
E00060978,E14000819
E00060979,E14000819
E00060806,E14000819
E00060807,E14000819
E00060804,E14000819
E00060805,E14000819
E00060802,E14000819
E00060803,E14000819
E00060616,E14000819
E00060800,E14000819
E00060617,E14000819
E00060614,E14000819
E00060615,E14000819
E00060612,E14000819
E00060613,E14000819
E00060610,E14000819
E00060611,E14000819
E00060808,E14000819
E00060809,E14000819
E00060618,E14000819
E00060619,E14000819
E00060906,E14000819
E00060987,E14000819
E00060907,E14000819
E00060986,E14000819
E00060904,E14000819
E00060985,E14000819
E00060905,E14000819
E00060984,E14000819
E00060902,E14000819
E00060983,E14000819
E00060903,E14000819
E00060982,E14000819
E00060716,E14000819
E00060797,E14000819
E00060900,E14000819
E00060981,E14000819
E00060717,E14000819
E00060796,E14000819
E00060901,E14000819
E00060627,E14000819
E00060980,E14000819
E00060714,E14000819
E00060795,E14000819
E00060624,E14000819
E00060715,E14000819
E00060794,E14000819
E00060625,E14000819
E00060596,E14000819
E00060594,E14000819
E00060593,E14000819
E00060592,E14000819
E00060591,E14000819
E00060590,E14000819
E00060968,E14000819
E00060969,E14000819
E00060599,E14000819
E00060598,E14000819
E00060832,E14000819
E00060830,E14000819
E00060607,E14000819
E00060831,E14000819
E00060604,E14000819
E00060605,E14000819
E00060602,E14000819
E00060603,E14000819
E00060600,E14000819
E00060601,E14000819
E00060608,E14000819
E00060609,E14000819
E00174112,E14000819
E00174115,E14000819
E00174107,E14000819
E00174109,E14000819
E00174106,E14000819
E00174105,E14000819
E00174119,E14000819
E00174111,E14000819
E00174108,E14000819
E00174110,E14000819
E00060932,E14000819
E00060712,E14000819
E00060793,E14000819
E00060622,E14000819
E00060713,E14000819
E00060792,E14000819
E00060710,E14000819
E00060791,E14000819
E00060620,E14000819
E00060711,E14000819
E00060790,E14000819
E00060621,E14000819
E00060908,E14000819
E00060989,E14000819
E00060909,E14000819
E00060988,E14000819
E00060718,E14000819
E00060799,E14000819
E00060628,E14000819
E00060719,E14000819
E00060798,E14000819
E00060629,E14000819
E00060866,E14000819
E00060867,E14000819
E00060865,E14000819
E00060726,E14000819
E00060725,E14000819
E00060722,E14000819
E00060723,E14000819
E00060720,E14000819
E00060721,E14000819
E00060868,E14000819
E00060869,E14000819
E00060728,E14000819
E00060966,E14000819
E00060967,E14000819
E00060965,E14000819
E00060597,E14000819
E00060933,E14000819
E00060706,E14000819
E00060787,E14000819
E00060930,E14000819
E00060656,E14000819
E00060707,E14000819
E00060786,E14000819
E00060931,E14000819
E00060704,E14000819
E00060785,E14000819
E00060705,E14000819
E00060652,E14000819
E00060703,E14000819
E00060650,E14000819
E00060701,E14000819
E00060651,E14000819
E00060708,E14000819
E00060789,E14000819
E00060709,E14000819
E00060788,E14000819
E00060659,E14000819
E00060576,E14000819
E00060577,E14000819
E00060574,E14000819
E00060575,E14000819
E00060573,E14000819
E00060570,E14000819
E00060571,E14000819
E00060578,E14000819
E00060579,E14000819
E00060666,E14000819
E00060756,E14000819
E00060667,E14000819
E00060757,E14000819
E00060664,E14000819
E00060754,E14000819
E00060665,E14000819
E00060755,E14000819
E00060662,E14000819
E00060752,E14000819
E00060663,E14000819
E00060753,E14000819
E00060660,E14000819
E00060750,E14000819
E00060661,E14000819
E00060751,E14000819
E00060668,E14000819
E00060817,E14000819
E00060896,E14000819
E00060758,E14000819
E00060669,E14000819
E00060814,E14000819
E00060759,E14000819
E00060815,E14000819
E00060812,E14000819
E00060813,E14000819
E00060810,E14000819
E00060811,E14000819
E00060818,E14000819
E00060899,E14000819
E00060819,E14000819
E00060898,E14000819
E00060826,E14000819
E00060997,E14000819
E00060824,E14000819
E00060647,E14000819
E00060878,E14000819
E00060567,E14000819
E00060973,E14000819
E00060699,E14000819
E00060623,E14000819
E00060727,E14000819
E00060595,E14000819
E00060606,E14000819
E00060702,E14000819
E00060572,E14000819
E00060897,E14000819
E00060768,E14000820
E00060769,E14000820
E00060736,E14000820
E00060737,E14000820
E00060734,E14000820
E00060735,E14000820
E00060732,E14000820
E00060733,E14000820
E00060730,E14000820
E00060731,E14000820
E00060738,E14000820
E00060739,E14000820
E00060746,E14000820
E00060747,E14000820
E00060744,E14000820
E00060745,E14000820
E00060742,E14000820
E00060743,E14000820
E00060740,E14000820
E00060741,E14000820
E00060887,E14000820
E00060748,E14000820
E00060886,E14000820
E00060749,E14000820
E00060885,E14000820
E00060884,E14000820
E00060883,E14000820
E00060882,E14000820
E00060697,E14000820
E00060881,E14000820
E00060696,E14000820
E00060880,E14000820
E00060695,E14000820
E00060694,E14000820
E00060693,E14000820
E00060692,E14000820
E00060691,E14000820
E00060690,E14000820
E00060889,E14000820
E00060888,E14000820
E00060698,E14000820
E00060856,E14000820
E00060857,E14000820
E00060854,E14000820
E00060855,E14000820
E00060852,E14000820
E00060853,E14000820
E00060850,E14000820
E00060851,E14000820
E00060777,E14000820
E00060961,E14000820
E00060774,E14000820
E00060775,E14000820
E00060772,E14000820
E00060773,E14000820
E00060770,E14000820
E00060771,E14000820
E00060836,E14000820
E00060778,E14000820
E00060837,E14000820
E00060779,E14000820
E00060834,E14000820
E00060835,E14000820
E00060833,E14000820
E00060687,E14000820
E00060686,E14000820
E00060685,E14000820
E00060684,E14000820
E00060683,E14000820
E00060682,E14000820
E00060681,E14000820
E00060838,E14000820
E00060839,E14000820
E00060689,E14000820
E00060688,E14000820
E00060936,E14000820
E00060846,E14000820
E00060937,E14000820
E00060847,E14000820
E00060934,E14000820
E00060844,E14000820
E00060935,E14000820
E00060845,E14000820
E00060842,E14000820
E00061126,E14000820
E00061127,E14000820
E00061124,E14000820
E00061125,E14000820
E00061122,E14000820
E00061120,E14000820
E00061121,E14000820
E00061128,E14000820
E00061129,E14000820
E00174126,E14000820
E00174135,E14000820
E00174121,E14000820
E00060858,E14000820
E00060859,E14000820
E00060956,E14000820
E00060957,E14000820
E00060864,E14000820
E00060954,E14000820
E00060955,E14000820
E00060862,E14000820
E00060952,E14000820
E00060863,E14000820
E00060953,E14000820
E00060676,E14000820
E00060860,E14000820
E00060950,E14000820
E00060677,E14000820
E00060861,E14000820
E00060951,E14000820
E00060674,E14000820
E00060675,E14000820
E00060672,E14000820
E00060673,E14000820
E00060670,E14000820
E00060671,E14000820
E00060958,E14000820
E00060959,E14000820
E00060678,E14000820
E00060679,E14000820
E00060729,E14000820
E00060964,E14000820
E00060962,E14000820
E00060963,E14000820
E00060843,E14000820
E00060840,E14000820
E00060841,E14000820
E00060784,E14000820
E00060783,E14000820
E00060782,E14000820
E00060781,E14000820
E00060780,E14000820
E00060938,E14000820
E00060848,E14000820
E00060939,E14000820
E00060849,E14000820
E00060946,E14000820
E00060947,E14000820
E00060944,E14000820
E00060945,E14000820
E00060942,E14000820
E00060943,E14000820
E00060940,E14000820
E00060941,E14000820
E00060948,E14000820
E00060949,E14000820
E00060895,E14000820
E00060894,E14000820
E00060893,E14000820
E00060891,E14000820
E00060890,E14000820
E00165819,E14000820
E00060767,E14000820
E00060776,E14000820
E00060960,E14000820
E00060680,E14000820
E00061006,E14000820
E00061356,E14000820
E00061007,E14000820
E00061004,E14000820
E00061354,E14000820
E00061005,E14000820
E00061355,E14000820
E00061002,E14000820
E00061352,E14000820
E00061003,E14000820
E00061353,E14000820
E00061000,E14000820
E00061350,E14000820
E00061001,E14000820
E00061351,E14000820
E00061008,E14000820
E00061009,E14000820
E00061444,E14000820
E00061442,E14000820
E00061443,E14000820
E00061440,E14000820
E00061441,E14000820
E00060999,E14000820
E00165766,E14000820
E00165767,E14000820
E00165768,E14000820
E00061187,E14000820
E00061186,E14000820
E00061185,E14000820
E00061189,E14000820
E00061109,E14000820
