"code","parent"
"E05000026","E05000026"
"E05000027","E05000027"
"E05000028","E05000028"
"E05000029","E05000029"
"E05000030","E05000030"
"E05000031","E05000031"
"E05000032","E05000032"
"E05000033","E05000033"
"E05000034","E05000034"
"E05000035","E05000035"
"E05000036","E05000036"
"E05000037","E05000037"
"E05000038","E05000038"
"E05000039","E05000039"
"E05000040","E05000040"
"E05000041","E05000041"
"E05000042","E05000042"
"E05000043","E05000043"
"E05000044","E05000044"
"E05000045","E05000045"
"E05000046","E05000046"
"E05000047","E05000047"
"E05000048","E05000048"
"E05000049","E05000049"
"E05000050","E05000050"
"E05000051","E05000051"
"E05000052","E05000052"
"E05000053","E05000053"
"E05000054","E05000054"
"E05000055","E05000055"
"E05000056","E05000056"
"E05000057","E05000057"
"E05000058","E05000058"
"E05000059","E05000059"
"E05000060","E05000060"
"E05000061","E05000061"
"E05000062","E05000062"
"E05000063","E05000063"
"E05000085","E05000085"
"E05000086","E05000086"
"E05000087","E05000087"
"E05000088","E05000088"
"E05000089","E05000089"
"E05000090","E05000090"
"E05000091","E05000091"
"E05000092","E05000092"
"E05000093","E05000093"
"E05000094","E05000094"
"E05000095","E05000095"
"E05000096","E05000096"
"E05000097","E05000097"
"E05000098","E05000098"
"E05000099","E05000099"
"E05000100","E05000100"
"E05000101","E05000101"
"E05000102","E05000102"
"E05000103","E05000103"
"E05000104","E05000104"
"E05000105","E05000105"
"E05000106","E05000106"
"E05000107","E05000107"
"E05000108","E05000108"
"E05000109","E05000109"
"E05000110","E05000110"
"E05000111","E05000111"
"E05000112","E05000112"
"E05000113","E05000113"
"E05000114","E05000114"
"E05000115","E05000115"
"E05000116","E05000116"
"E05000117","E05000117"
"E05000118","E05000118"
"E05000119","E05000119"
"E05000120","E05000120"
"E05000121","E05000121"
"E05000122","E05000122"
"E05000123","E05000123"
"E05000124","E05000124"
"E05000125","E05000125"
"E05000126","E05000126"
"E05000127","E05000127"
"E05000128","E05000128"
"E05000129","E05000129"
"E05000130","E05000130"
"E05000131","E05000131"
"E05000132","E05000132"
"E05000133","E05000133"
"E05000134","E05000134"
"E05000135","E05000135"
"E05000136","E05000136"
"E05000137","E05000137"
"E05000138","E05000138"
"E05000139","E05000139"
"E05000140","E05000140"
"E05000141","E05000141"
"E05000142","E05000142"
"E05000143","E05000143"
"E05000144","E05000144"
"E05000145","E05000145"
"E05000170","E05000170"
"E05000171","E05000171"
"E05000172","E05000172"
"E05000173","E05000173"
"E05000174","E05000174"
"E05000175","E05000175"
"E05000176","E05000176"
"E05000177","E05000177"
"E05000178","E05000178"
"E05000179","E05000179"
"E05000180","E05000180"
"E05000181","E05000181"
"E05000182","E05000182"
"E05000183","E05000183"
"E05000184","E05000184"
"E05000185","E05000185"
"E05000186","E05000186"
"E05000187","E05000187"
"E05000188","E05000188"
"E05000189","E05000189"
"E05000190","E05000190"
"E05000191","E05000191"
"E05000192","E05000192"
"E05000193","E05000193"
"E05000194","E05000194"
"E05000195","E05000195"
"E05000196","E05000196"
"E05000197","E05000197"
"E05000198","E05000198"
"E05000199","E05000199"
"E05000200","E05000200"
"E05000201","E05000201"
"E05000202","E05000202"
"E05000203","E05000203"
"E05000204","E05000204"
"E05000205","E05000205"
"E05000206","E05000206"
"E05000207","E05000207"
"E05000208","E05000208"
"E05000209","E05000209"
"E05000210","E05000210"
"E05000211","E05000211"
"E05000212","E05000212"
"E05000213","E05000213"
"E05000214","E05000214"
"E05000215","E05000215"
"E05000216","E05000216"
"E05000217","E05000217"
"E05000218","E05000218"
"E05000219","E05000219"
"E05000220","E05000220"
"E05000221","E05000221"
"E05000222","E05000222"
"E05000223","E05000223"
"E05000224","E05000224"
"E05000225","E05000225"
"E05000226","E05000226"
"E05000227","E05000227"
"E05000228","E05000228"
"E05000229","E05000229"
"E05000230","E05000230"
"E05000250","E05000250"
"E05000251","E05000251"
"E05000252","E05000252"
"E05000253","E05000253"
"E05000254","E05000254"
"E05000255","E05000255"
"E05000256","E05000256"
"E05000257","E05000257"
"E05000258","E05000258"
"E05000259","E05000259"
"E05000260","E05000260"
"E05000261","E05000261"
"E05000262","E05000262"
"E05000263","E05000263"
"E05000264","E05000264"
"E05000265","E05000265"
"E05000266","E05000266"
"E05000267","E05000267"
"E05000268","E05000268"
"E05000269","E05000269"
"E05000270","E05000270"
"E05000271","E05000271"
"E05000272","E05000272"
"E05000273","E05000273"
"E05000274","E05000274"
"E05000275","E05000275"
"E05000276","E05000276"
"E05000277","E05000277"
"E05000278","E05000278"
"E05000279","E05000279"
"E05000280","E05000280"
"E05000281","E05000281"
"E05000282","E05000282"
"E05000283","E05000283"
"E05000284","E05000284"
"E05000285","E05000285"
"E05000286","E05000286"
"E05000287","E05000287"
"E05000288","E05000288"
"E05000289","E05000289"
"E05000290","E05000290"
"E05000291","E05000291"
"E05000292","E05000292"
"E05000293","E05000293"
"E05000294","E05000294"
"E05000295","E05000295"
"E05000296","E05000296"
"E05000297","E05000297"
"E05000298","E05000298"
"E05000299","E05000299"
"E05000300","E05000300"
"E05000301","E05000301"
"E05000302","E05000302"
"E05000303","E05000303"
"E05000304","E05000304"
"E05000305","E05000305"
"E05000306","E05000306"
"E05000307","E05000307"
"E05000308","E05000308"
"E05000309","E05000309"
"E05000310","E05000310"
"E05000311","E05000311"
"E05000312","E05000312"
"E05000313","E05000313"
"E05000314","E05000314"
"E05000315","E05000315"
"E05000316","E05000316"
"E05000317","E05000317"
"E05000318","E05000318"
"E05000319","E05000319"
"E05000320","E05000320"
"E05000321","E05000321"
"E05000322","E05000322"
"E05000323","E05000323"
"E05000324","E05000324"
"E05000325","E05000325"
"E05000326","E05000326"
"E05000327","E05000327"
"E05000328","E05000328"
"E05000329","E05000329"
"E05000330","E05000330"
"E05000331","E05000331"
"E05000332","E05000332"
"E05000333","E05000333"
"E05000334","E05000334"
"E05000335","E05000335"
"E05000336","E05000336"
"E05000337","E05000337"
"E05000338","E05000338"
"E05000339","E05000339"
"E05000340","E05000340"
"E05000341","E05000341"
"E05000342","E05000342"
"E05000343","E05000343"
"E05000344","E05000344"
"E05000345","E05000345"
"E05000346","E05000346"
"E05000347","E05000347"
"E05000348","E05000348"
"E05000349","E05000349"
"E05000350","E05000350"
"E05000351","E05000351"
"E05000352","E05000352"
"E05000353","E05000353"
"E05000354","E05000354"
"E05000355","E05000355"
"E05000356","E05000356"
"E05000357","E05000357"
"E05000358","E05000358"
"E05000359","E05000359"
"E05000360","E05000360"
"E05000361","E05000361"
"E05000362","E05000362"
"E05000363","E05000363"
"E05000364","E05000364"
"E05000365","E05000365"
"E05000366","E05000366"
"E05000367","E05000367"
"E05000368","E05000368"
"E05000369","E05000369"
"E05000370","E05000370"
"E05000371","E05000371"
"E05000372","E05000372"
"E05000373","E05000373"
"E05000374","E05000374"
"E05000375","E05000375"
"E05000376","E05000376"
"E05000377","E05000377"
"E05000378","E05000378"
"E05000379","E05000379"
"E05000380","E05000380"
"E05000381","E05000381"
"E05000400","E05000400"
"E05000401","E05000401"
"E05000402","E05000402"
"E05000403","E05000403"
"E05000404","E05000404"
"E05000405","E05000405"
"E05000406","E05000406"
"E05000407","E05000407"
"E05000408","E05000408"
"E05000409","E05000409"
"E05000410","E05000410"
"E05000411","E05000411"
"E05000412","E05000412"
"E05000413","E05000413"
"E05000414","E05000414"
"E05000415","E05000415"
"E05000416","E05000416"
"E05000417","E05000417"
"E05000418","E05000418"
"E05000419","E05000419"
"E05000420","E05000420"
"E05000421","E05000421"
"E05000422","E05000422"
"E05000423","E05000423"
"E05000424","E05000424"
"E05000425","E05000425"
"E05000426","E05000426"
"E05000427","E05000427"
"E05000428","E05000428"
"E05000429","E05000429"
"E05000430","E05000430"
"E05000431","E05000431"
"E05000432","E05000432"
"E05000433","E05000433"
"E05000434","E05000434"
"E05000435","E05000435"
"E05000436","E05000436"
"E05000437","E05000437"
"E05000438","E05000438"
"E05000439","E05000439"
"E05000440","E05000440"
"E05000441","E05000441"
"E05000442","E05000442"
"E05000443","E05000443"
"E05000444","E05000444"
"E05000445","E05000445"
"E05000446","E05000446"
"E05000447","E05000447"
"E05000448","E05000448"
"E05000449","E05000449"
"E05000450","E05000450"
"E05000451","E05000451"
"E05000452","E05000452"
"E05000453","E05000453"
"E05000454","E05000454"
"E05000455","E05000455"
"E05000456","E05000456"
"E05000457","E05000457"
"E05000458","E05000458"
"E05000459","E05000459"
"E05000460","E05000460"
"E05000461","E05000461"
"E05000462","E05000462"
"E05000463","E05000463"
"E05000464","E05000464"
"E05000465","E05000465"
"E05000466","E05000466"
"E05000467","E05000467"
"E05000468","E05000468"
"E05000469","E05000469"
"E05000470","E05000470"
"E05000471","E05000471"
"E05000472","E05000472"
"E05000473","E05000473"
"E05000474","E05000474"
"E05000475","E05000475"
"E05000476","E05000476"
"E05000477","E05000477"
"E05000478","E05000478"
"E05000479","E05000479"
"E05000480","E05000480"
"E05000481","E05000481"
"E05000482","E05000482"
